Simulation Results

planeCapacity,numberOfRows,spaceBetweenRows,seatsInHalfRow,numberOfPassengers,random result,aisle_to_window result,window_to_isle result,front_to_back result,back_to_front result,bestSeatingMode
12,3,1,2,3,7,13,12,14,13,"random"
12,3,1,2,6,15,21,16,30,17,"random"
12,3,1,2,9,32,35,21,39,27,"window_to_isle"
12,3,1,2,12,45,46,30,46,39,"window_to_isle"
18,3,1,3,4,20,19,9,17,15,"window_to_isle"
18,3,1,3,8,22,31,23,44,23,"random"
18,3,1,3,12,50,64,24,49,53,"window_to_isle"
18,3,1,3,16,61,98,31,80,71,"window_to_isle"
24,3,1,4,6,18,36,18,26,28,"random"
24,3,1,4,12,42,62,29,67,58,"window_to_isle"
24,3,1,4,18,71,114,39,95,82,"window_to_isle"
24,3,1,4,24,126,175,61,112,143,"window_to_isle"
30,3,1,5,7,21,30,21,34,23,"random"
30,3,1,5,14,65,108,32,77,65,"window_to_isle"
30,3,1,5,21,110,144,47,149,117,"window_to_isle"
30,3,1,5,28,145,238,57,198,196,"window_to_isle"
12,3,2,2,3,19,8,12,10,5,"back_to_front"
12,3,2,2,6,23,17,16,18,13,"back_to_front"
12,3,2,2,9,16,32,18,35,18,"random"
12,3,2,2,12,23,37,21,35,31,"window_to_isle"
18,3,2,3,4,11,21,11,13,13,"random"
18,3,2,3,8,19,37,17,40,17,"window_to_isle"
18,3,2,3,12,36,60,22,55,43,"window_to_isle"
18,3,2,3,16,44,68,34,72,72,"window_to_isle"
24,3,2,4,6,23,25,20,23,12,"back_to_front"
24,3,2,4,12,33,57,31,54,27,"back_to_front"
24,3,2,4,18,80,89,35,90,68,"window_to_isle"
24,3,2,4,24,100,158,37,135,119,"window_to_isle"
30,3,2,5,7,29,27,17,26,26,"window_to_isle"
30,3,2,5,21,98,108,33,125,76,"window_to_isle"
30,3,2,5,28,137,167,51,180,168,"window_to_isle"
12,3,3,2,3,11,21,10,18,17,"window_to_isle"
12,3,3,2,6,16,14,10,25,15,"window_to_isle"
12,3,3,2,9,33,21,22,26,25,"aisle_to_window"
12,3,3,2,12,33,36,26,50,30,"window_to_isle"
18,3,3,3,4,9,12,12,21,13,"random"
18,3,3,3,8,19,33,23,32,20,"random"
18,3,3,3,12,27,47,26,54,25,"back_to_front"
18,3,3,3,16,41,55,34,67,41,"window_to_isle"
24,3,3,4,6,19,18,16,15,15,"front_to_back"
24,3,3,4,12,34,56,26,46,34,"window_to_isle"
30,3,3,5,7,20,37,23,29,23,"random"
30,3,3,5,21,106,130,32,130,76,"window_to_isle"
12,3,4,2,3,16,19,12,9,17,"front_to_back"
12,3,4,2,6,22,21,14,19,20,"window_to_isle"
12,3,4,2,9,24,26,14,23,26,"window_to_isle"
12,3,4,2,12,25,38,33,31,26,"random"
18,3,4,3,4,21,16,12,20,9,"back_to_front"
18,3,4,3,8,22,44,18,18,17,"back_to_front"
18,3,4,3,12,48,49,30,39,26,"back_to_front"
18,3,4,3,16,44,56,33,67,43,"window_to_isle"
24,3,4,4,6,18,18,13,29,21,"window_to_isle"
24,3,4,4,12,38,46,32,41,47,"window_to_isle"
24,3,4,4,24,64,114,40,139,87,"window_to_isle"
30,3,4,5,7,29,24,12,32,17,"window_to_isle"
12,3,5,2,3,5,14,8,8,7,"random"
12,3,5,2,6,23,19,21,19,11,"back_to_front"
12,3,5,2,9,35,30,32,25,17,"back_to_front"
12,3,5,2,12,18,52,26,53,29,"random"
